All Features,all-cause_PhenoAge,all-cause_BioAge,all-cause_Top20,all-cause_CBC_CMP_LP_WBC,all-cause_Ques_Top20,neoplasms_Top20,circulatory_Top20
6075-0.0_2,,,,,,,
1980-0.0,,,,,,,
1990-0.0,,,,,,,
2000-0.0,,,,,,,
4056-0.0,,,,,,,
2010-0.0,,,,,,,
4067-0.0,,,,,,,
2020-0.0,,,,,,,
6119-0.0_1,,,,,,,
6119-0.0_3,,,,,,,
6119-0.0_2,,,,,,,
2030-0.0,,,,,,,
2040-0.0,,,,,,,
6138-0.0_5,,,,,,,
6138-0.0_2,,,,,,,
6138-0.0_4,,,,,,,
6138-0.0_6,,,,,,,
6138-0.0_1,,,,,,,
6138-0.0_3,,,,,,,
6139-0.0_-7,,,,,,,
6139-0.0_3,,,,,,,
6140-0.0_2,,,,,,,
6140-0.0_6,,,,,,,
6140-0.0_5,,,,,,,
6140-0.0_4,,,,,,,
6140-0.0_3,,,,,,,
6140-0.0_-7,,,,,,,
4093-0.0_1,,,,,,,
6142-0.0_7,,,,,,,
6142-0.0_2,,,,,,,
6142-0.0_-7,,,,,,,
6142-0.0_3,,,,,,,
6142-0.0_5,,,,,,,
6142-0.0_6,,,,,,,
6143-0.0_4,,,,,,,
6143-0.0_2,,,,,,,
6143-0.0_-7,,,,,,,
6143-0.0_1,,,,,,,
30510-0.0,,,,,,,
30870-0.0,,,,,,,
30640-0.0,,,,,,,
30760-0.0,,,,,,,
30270-0.0,,,,,,,
30030-0.0,,,,,,,
30730-0.0,,,,,,,
30880-0.0,,,,,,,
30180-0.0,,,,,,,
30300-0.0,,,,,,,
30290-0.0,,,,,,,
30110-0.0,,,,,,,
30630-0.0,,,,,,,
30140-0.0,,,,,,,
30050-0.0,,,,,,,
30020-0.0,,,,,,,
30040-0.0,,,,,,,
30670-0.0,,,,,,,
30240-0.0,,,,,,,
30100-0.0,,,,,,,
30890-0.0,,,,,,,
30090-0.0,,,,,,,
30620-0.0,,,,,,,
30810-0.0,,,,,,,
30080-0.0,,,,,,,
30060-0.0,,,,,,,
30690-0.0,,,,,,,
30200-0.0,,,,,,,
30150-0.0,,,,,,,
30500-0.0,,,,,,,
30740-0.0,,,,,,,
